sim_time,"(m,n)","(r,s)",fail_rate,repair_rate,iteration,mttf,mttr,ff,fr,elapsed_time
10,"(3, 3)","(3, 3)",1,1,8,0.0,0.0,No Failure,No Repair,0.0
10,"(3, 3)","(3, 3)",1,1,9,0.0,0.0,No Failure,No Repair,0.0
10,"(3, 3)","(3, 3)",1,2.5,0,0.045,1.779,2.632,2.701,0.001
10,"(3, 3)","(3, 3)",1,2.5,1,0.0,0.0,No Failure,No Repair,0.0
10,"(3, 3)","(3, 3)",1,2.5,2,0.069,5.292,5.292,5.36,0.001
10,"(3, 3)","(3, 3)",1,2.5,3,0.418,2.941,2.941,3.359,0.001
10,"(3, 3)","(3, 3)",1,2.5,4,0.648,7.292,7.292,7.94,0.0
10,"(3, 3)","(3, 3)",1,2.5,5,0.238,5.794,5.794,6.032,0.001
10,"(3, 3)","(3, 3)",1,2.5,6,0.153,10.89,10.89,11.042,0.0
10,"(3, 3)","(3, 3)",1,2.5,7,0.226,1.423,5.0,5.079,0.0
10,"(3, 3)","(3, 3)",1,2.5,8,0.0,0.0,No Failure,No Repair,0.002
10,"(3, 3)","(3, 3)",1,2.5,9,0.206,4.545,4.545,4.751,0.001
10,"(3, 3)","(3, 3)",1,5,0,0.514,2.971,3.221,3.719,0.0
10,"(3, 3)","(3, 3)",1,5,1,0.392,1.284,1.558,2.42,0.0
10,"(3, 3)","(3, 3)",1,5,2,0.165,5.188,4.586,4.681,0.001
10,"(3, 3)","(3, 3)",1,5,3,0.02,10.725,10.725,10.745,0.0
10,"(3, 3)","(3, 3)",1,5,4,0.495,10.543,10.543,11.038,0.001
10,"(3, 3)","(3, 3)",1,5,5,0.467,1.914,2.912,3.494,0.001
10,"(3, 3)","(3, 3)",1,5,6,0.975,1.203,1.552,2.92,0.0
10,"(3, 3)","(3, 3)",1,5,7,0.0,0.0,No Failure,No Repair,0.001
10,"(3, 3)","(3, 3)",1,5,8,0.121,3.007,6.007,6.156,0.0
10,"(3, 3)","(3, 3)",1,5,9,0.554,1.231,2.714,3.57,0.001
10,"(3, 3)","(3, 3)",1,10,0,0.418,1.917,5.032,5.105,0.0
10,"(3, 3)","(3, 3)",1,10,1,1.984,4.909,3.82,5.222,0.001
10,"(3, 3)","(3, 3)",1,10,2,0.861,0.965,1.065,2.223,0.0
10,"(3, 3)","(3, 3)",1,10,3,1.368,2.373,1.162,2.592,0.001
10,"(3, 3)","(3, 3)",1,10,4,2.189,5.394,5.394,7.583,0.0
10,"(3, 3)","(3, 3)",1,10,5,0.265,3.245,3.465,3.697,0.0
10,"(3, 3)","(3, 3)",1,10,6,0.995,2.763,3.208,3.402,0.0
10,"(3, 3)","(3, 3)",1,10,7,0.172,3.678,3.151,3.185,0.0
10,"(3, 3)","(3, 3)",1,10,8,1.075,3.06,1.598,3.054,0.0
10,"(3, 3)","(3, 3)",1,10,9,0.933,2.765,4.409,5.884,0.0
10,"(3, 3)","(3, 3)",2,20,0,2.2,7.351,7.351,9.55,0.001
10,"(3, 3)","(3, 3)",2,20,1,1.986,3.122,5.228,9.191,0.0
10,"(3, 3)","(3, 3)",2,20,2,1.877,13.119,13.119,14.996,0.001
10,"(3, 3)","(3, 3)",2,20,3,1.256,2.571,5.298,6.194,0.001
10,"(3, 3)","(3, 3)",2,20,4,4.889,1.148,2.277,8.167,0.0
10,"(3, 3)","(3, 3)",2,20,5,0.0,0.0,No Failure,No Repair,0.001
10,"(3, 3)","(3, 3)",2,20,6,2.009,2.175,3.295,5.182,0.0
10,"(3, 3)","(3, 3)",2,20,7,5.448,6.749,6.749,12.197,0.001
10,"(3, 3)","(3, 3)",2,20,8,1.078,4.482,4.482,5.56,0.0
10,"(3, 3)","(3, 3)",2,20,9,3.667,4.14,3.004,3.533,0.0
10,"(3, 3)","(5, 5)",1,1,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,1,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,6,nan,nan,No Failure,No Repair,0.001
10,"(3, 3)","(5, 5)",1,2.5,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,2.5,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,1,nan,nan,No Failure,No Repair,0.002
10,"(3, 3)","(5, 5)",1,5,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,5,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",1,10,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,1,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(5, 5)",2,20,9,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,0,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,1,nan,nan,No Failure,No Repair,0.001
10,"(3, 3)","(10, 10)",1,1,2,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,3,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,4,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,5,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,6,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,7,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,8,nan,nan,No Failure,No Repair,0.0
10,"(3, 3)","(10, 10)",1,1,9,nan,nan,No Failure,No Repair,0.0
